Species,fish,Max_Length,Measure,Max_wt,a_fishbase,b_fishbase
Icichthys lockingtoni,fish,46,TL,NA,0.02042,3.03
Merluccius productus,fish,91,TL,1.2,0.00603,3.05
Gonatus spp.,invert,NA,NA,NA,NA,NA
Tarletonbeania crenularis,fish,12.7,TL,NA,0.01023,3.1
Stenobrachius leucopsarus,fish,13,TL,NA,0.00891,3.05
Abraliopsis felis,invert,NA,NA,NA,NA,NA
Symbolophorus californiensis,fish,11,SL,NA,NA,NA
Ophiodon elongatus,fish,152,TL,59.1,NA,NA
Sebastes jordani,fish,32,TL,NA,0.00389,3.12
Citharichthys sordidus,fish,41,TL,NA,0.00933,3.08
Carinaria spp.,invert,NA,NA,NA,NA,NA
Onychoteuthis borealijaponica,invert,NA,NA,NA,NA,NA
Trachurus symmetricus,fish,81,TL,NA,0.00977,2.95
Nannobrachium spp.,fish,11.5,SL,NA,NA,NA
Engraulis mordax,fish,24.8,SL,0.068,0.0055,3.08
Doryteuthis opalescens,invert,NA,NA,NA,NA,NA
Gobiidae,fish,NA,NA,NA,NA,NA
Trachipterus altivelis,fish,183,TL,NA,0.00102,3.06
Pyrosoma atlanticum,invert,NA,NA,NA,NA,NA
Thetys vagina,invert,NA,NA,NA,NA,NA
Sebastes goodei,fish,56,TL,1.5,NA,NA
Diaphus theta,fish,11.4,TL,NA,0.00933,3.03
Leuroglossus stilbius,fish,15,TL,NA,0.00562,2.9
Bathylagidae,fish,13.5,SL,NA,NA,NA
