Cruise_No,Haul,Date,Species_Code,M,Std_Length,Weight
1603,96,5/31/16,315,,56.51,3
1603,96,5/31/16,315,,63.46,4.4
1603,96,5/31/16,315,,100.1,14.8
1603,96,5/31/16,315,,60.57,4
1603,95,5/31/16,382,,53.9,1.3
1603,95,5/31/16,382,,57.45,1.5
1603,95,5/31/16,382,,54.5,1.3
1603,95,5/31/16,382,,58.4,1.4
1603,95,5/31/16,382,,45.12,1.5
1603,95,5/31/16,382,,58.8,1.4
1603,95,5/31/16,382,,38.63,0.3
1603,95,5/31/16,382,,55.51,1.1
1603,95,5/31/16,382,,45.4,0.6
1603,95,5/31/16,382,,55.24,1
1603,95,5/31/16,382,,56.62,1.1
1603,97,5/31/16,2318,,52.16,5.6
1603,97,5/31/16,2318,,38.9,2.1
1603,97,5/31/16,2318,,39.97,2.8
1603,97,5/31/16,2318,,43.42,3
1603,97,5/31/16,2318,,43.06,3
1603,97,5/31/16,2318,,46.84,3.7
1603,97,5/31/16,2318,,39.03,1.8
1603,97,5/31/16,2318,,39.34,2.3
1603,97,5/31/16,2318,,19.2,0.9
1603,97,5/31/16,2318,,40.06,2.3
1603,97,5/31/16,2318,,36.43,1.7
1603,97,5/31/16,2318,,33.43,1.1
1603,97,5/31/16,2318,,39.49,2.3
1603,97,5/31/16,2318,,21.09,0.3
1603,97,5/31/16,2318,,37.84,2.2
1603,97,5/31/16,2318,,35.91,1.8
1603,97,5/31/16,2318,,31.17,1.2
1603,97,5/31/16,2318,,30.4,0.9
1603,97,5/31/16,685,,63.46,2.6
1603,97,5/31/16,685,,57.78,1.8
1603,97,5/31/16,685,,49.02,1.1
1603,97,5/31/16,685,,55.7,1.7
1603,97,5/31/16,685,,53.09,1.5
1603,97,5/31/16,685,,49.17,1.1
1603,97,5/31/16,685,,50.45,1.2
1603,97,5/31/16,685,,49.28,1.1
1603,97,5/31/16,685,,50.28,1.1
1603,97,5/31/16,685,,48.28,0.9
1603,97,5/31/16,685,,48,1
1603,97,5/31/16,661,,44.28,0.7
1603,97,5/31/16,661,,46.51,0.8
1603,97,5/31/16,661,,59.43,2
1603,97,5/31/16,661,,58.83,2.2
1603,97,5/31/16,661,,46.94,0.9
1603,97,5/31/16,661,,50.66,1.5
1603,97,5/31/16,661,,48.02,1
1603,97,5/31/16,661,,58.89,2.1
1603,97,5/31/16,661,,45.97,0.9
1603,97,5/31/16,661,,56.57,1.9
1603,97,5/31/16,661,,59.72,1.8
1603,97,5/31/16,661,,48.57,1
1603,97,5/31/16,2827,,52.31,5.7
1603,97,5/31/16,2827,,42.33,5.4
1603,97,5/31/16,669,,88.09,8
1603,97,5/31/16,669,,83.34,5.7
1603,94,5/30/16,448,,68.52,2.3
1603,94,5/30/16,448,,56.46,1.2
1603,94,5/30/16,448,,58.39,1.3
1603,94,5/30/16,448,,61.23,1.5
1603,94,5/30/16,448,,59.89,1.5
1603,94,5/30/16,448,,76.86,3.4
1603,94,5/30/16,448,,62.87,1.5
1603,94,5/30/16,448,,58.91,1.3
1603,94,5/30/16,315,,65.83,4.6
1603,94,5/30/16,604,,55.8,2.1
1603,94,5/30/16,604,,55.86,2.1
1603,94,5/30/16,604,,40.02,0.7
1603,94,5/30/16,604,,39.62,0.7
1603,94,5/30/16,604,,38.16,0.7
1603,94,5/30/16,147,Y,46.63,1.2
1603,94,5/30/16,147,Y,43.24,0.8
1603,94,5/30/16,147,Y,44.43,1
1603,94,5/30/16,147,Y,45.3,1.1
1603,94,5/30/16,147,A,69.45,3.9
1603,94,5/30/16,147,A,52.04,1.5
1603,94,5/30/16,147,A,64.55,3.2
1603,94,5/30/16,147,A,70.65,4.2
1603,94,5/30/16,147,A,63.73,3.2
1603,94,5/30/16,147,A,51.07,1.5
