"","COMMON_NAME","total_no_measure"
"1","ARMHOOK SQUID",50
"2","BLACKSMELT",10
"3","BLACKTIP SQUID",24
"4","BLUE LANTERNFISH",41
"5","BOREAL CLUBHOOK SQUID",21
"6","CALIFORNIA HEADLIGHTFISH",11
"7","CALIFORNIA LANTERNFISH",14
"8","CALIFORNIA SMOOTHTONGUE",20
"9","CARINARIA",12
"10","CHILIPEPPER",21
"11","GOBY",2
"12","HALFBANDED ROCKFISH",5
"13","JACK MACKEREL",9
"14","KING-OF-THE-SALMON",1
"15","LANTERNFISH",28
"16","LINGCOD",13
"17","MARKET SQUID",30
"18","MEDUSAFISH",22
"19","MEXICAN LAMPFISH",8
"20","NORTHERN ANCHOVY",44
"21","NORTHERN LAMPFISH",67
"22","PACIFIC HAKE",42
"23","PACIFIC SANDDAB",66
"24","PYROSOMA",22
"25","SHORTBELLY ROCKFISH",63
"26","THETYS SALP",15
